name,url,report_name,file_name,file_url
MAR-10365227-2.v1 - Impacket 2,https://www.cisa.gov/news-events/analysis-reports/ar22-277b,MAR-10365227.r2.v1 STIX XML,mar-10365227.r2.v1.clear_stix.xml,https://www.cisa.gov/sites/default/files/2023-06/mar-10365227.r2.v1.clear_stix.xml
MAR-10365227-3.v1 - Impacket 3,https://www.cisa.gov/news-events/analysis-reports/ar22-277c,MAR-10365227.r3.v1 - Impacket 3,mar-10365227.r3.v1.clear_.pdf,https://www.cisa.gov/sites/default/files/2023-06/mar-10365227.r3.v1.clear_.pdf
MAR-10365227-3.v1 - Impacket 3,https://www.cisa.gov/news-events/analysis-reports/ar22-277c,MAR-10365227.r3.v1 STIX XML,mar-10365227.r3.v1.clear_stix.xml,https://www.cisa.gov/sites/default/files/2023-06/mar-10365227.r3.v1.clear_stix.xml
MAR-10365227-2.v1,https://www.cisa.gov/news-events/analysis-reports/ar22-272a,MAR-10365227-2.v1 249B,mar-10365227.r3.v1.clear_stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10365227.r1.v1.WHITE_stix.xml
MAR-10400779-1.v1 – Zimbra 1,https://www.cisa.gov/news-events/analysis-reports/ar22-270a,"MAR-10400779.r1.v1.WHITE_stix, 1.3 MB",MAR-10365227.r1.v1.WHITE_stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10400779.r1.v1.WHITE_stix.xml
MAR-10386789-1.v1 – Log4Shell,https://www.cisa.gov/news-events/analysis-reports/ar22-203a,MAR-10386789-1.v1.stix,MAR-10400779.r1.v1.WHITE_stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10386789-1.v1.stix.xml
MAR-10382580-r2.v1 – RAT,https://www.cisa.gov/news-events/analysis-reports/ar22-197a,MAR-10382580.r2.v1.WHITE_stix,MAR-10386789-1.v1.stix.xml,https://www.cisa.gov/sites/default/files/MAR-10382580.r2.v1.WHITE_stix.xml
MAR-10382580-1.v1 – Unidentified RAT,https://www.cisa.gov/news-events/analysis-reports/ar22-174b,MAR-10382580-1.v1.stix,MAR-10382580.r2.v1.WHITE_stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10382580.r1.v1.WHITE_stix.xml
MAR-10382254-1.v1 – C2 RAT,https://www.cisa.gov/news-events/analysis-reports/ar22-174a,MAR-10382254-1.v1.stix,MAR-10382580.r1.v1.WHITE_stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10382254.r1.v1.WHITE_stix.xml
MAR-10376640-1.v1 – IsaacWiper and HermeticWizard,https://www.cisa.gov/news-events/analysis-reports/ar22-115b,MAR-10376640-1.v1.stix,MAR-10382254.r1.v1.WHITE_stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10376640.r1.v1.WHITE_stix.xml
MAR-10376640-2.v1 – CaddyWiper,https://www.cisa.gov/news-events/analysis-reports/ar22-115c,MAR-10376640-2.v1.stix,MAR-10376640.r1.v1.WHITE_stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10376640.r2.v1.WHITE_stix.xml
MAR-10375867-1.v1 – HermeticWiper,https://www.cisa.gov/news-events/analysis-reports/ar22-115a,MAR-10375867-1.v1.stix,MAR-10376640.r2.v1.WHITE_stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10375867.r1.v1.WHITE_stix.xml
MAR–10369127–1.v1 – MuddyWater,https://www.cisa.gov/news-events/analysis-reports/ar22-055a,MAR-10369127-1.v1.stix,MAR-10375867.r1.v1.WHITE_stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10369127-1.v1.WHITE_stix.xml
MAR-10339606-1.v1: Pulse Secure Connect,https://www.cisa.gov/news-events/analysis-reports/ar21-236e,MAR-10339606-1.v1.stix,MAR-10369127-1.v1.WHITE_stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10339606.r1.v1.WHITE.stix.xml
MAR-10334057-3.v1: Pulse Secure Connect,https://www.cisa.gov/news-events/analysis-reports/ar21-236d,MAR-10334057-3.v1.stix,MAR-10339606.r1.v1.WHITE.stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10334057.r3.v1.WHITE.stix.xml
MAR-10338401-2.v1: Pulse Secure Connect,https://www.cisa.gov/news-events/analysis-reports/ar21-236c,MAR-10338401-r2.v1.stix,MAR-10334057.r3.v1.WHITE.stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10338401.r2.v1.WHITE.stix.xml
MAR-10336935-2.v1: Pulse Secure Connect,https://www.cisa.gov/news-events/analysis-reports/ar21-236a,MAR-10336935-2.v1.stix,MAR-10338401.r2.v1.WHITE.stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10336935.r2.v1.WHITE.stix.xml
MAR-10333243-3.v1: Pulse Secure Connect,https://www.cisa.gov/news-events/analysis-reports/ar21-236b,MAR-10333243-3.v1.stix,MAR-10336935.r2.v1.WHITE.stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10333243.r3.v1.WHITE.stix.xml
MAR-10333209-1.v1: Pulse Connect Secure,https://www.cisa.gov/news-events/analysis-reports/ar21-202a,MAR-10333209-1.v1.stix,MAR-10333243.r3.v1.WHITE.stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10333209.r1.v1.WHITE_stix.xml
MAR-10333243-1.v1: Pulse Connect Secure,https://www.cisa.gov/news-events/analysis-reports/ar21-202b,MAR-10333243-1.v1WHITE.stix,MAR-10333209.r1.v1.WHITE_stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10333243.r1.v1.WHITE_stix.xml
MAR-10334057-1.v1: Pulse Secure Connect,https://www.cisa.gov/news-events/analysis-reports/ar21-202c,MAR-10334057-1.v1.WHITE.stix,MAR-10333243.r1.v1.WHITE_stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10334057.r1.v1.WHITE_stix.xml
MAR-10334057-2.v1: Pulse Connect Secure,https://www.cisa.gov/news-events/analysis-reports/ar21-202d,MAR-10334057-2.v1.WHITE.stix,MAR-10334057.r1.v1.WHITE_stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10334057.r2.v1.WHITE_stix.xml
MAR-10334587-1.v1: Pulse Connect Secure,https://www.cisa.gov/news-events/analysis-reports/ar21-202e,MAR-10334587-1.v1.WHITE.stix,MAR-10334057.r2.v1.WHITE_stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10334587.r1.v1.WHITE_stix.xml
MAR-10334587-2.v1: Pulse Connect Secure,https://www.cisa.gov/news-events/analysis-reports/ar21-202f,MAR-10334587-2.v1.WHITE.stix,MAR-10334587.r1.v1.WHITE_stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10334587-2.v1.WHITE_stix.xml
MAR-10335467-1.v1: Pulse Connect Secure,https://www.cisa.gov/news-events/analysis-reports/ar21-202g,MAR-10335467-1.v1.WHITE.stix,MAR-10334587-2.v1.WHITE_stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10335467-1.v1.WHITE_stix.xml
MAR-10336161-1.v1: Pulse Connect Secure,https://www.cisa.gov/news-events/analysis-reports/ar21-202h,MAR-10336161-1.v1.WHITE.stix,MAR-10335467-1.v1.WHITE_stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10336161-1.v1.WHITE_stix.xml
MAR-10336935-1.v1: Pulse Connect Secure,https://www.cisa.gov/news-events/analysis-reports/ar21-202i,MAR-10336935-1.v1.WHITE.stix,MAR-10336161-1.v1.WHITE_stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10336935-1.v1.WHITE_stix.xml
MAR-10337580-1.v1: Pulse Connect Secure,https://www.cisa.gov/news-events/analysis-reports/ar21-202j,MAR-10337580-1.v1.WHITE.stix,MAR-10336935-1.v1.WHITE_stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10337580-1.v1.WHITE_stix.xml
MAR-10337580-2.v1: Pulse Connect Secure,https://www.cisa.gov/news-events/analysis-reports/ar21-202k,MAR-10337580-2.v1.WHITE.stix,MAR-10337580-1.v1.WHITE_stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10337580-2.v1.WHITE_stix.xml
MAR-10338401-1.v1: Pulse Connect Secure,https://www.cisa.gov/news-events/analysis-reports/ar21-202l,MAR-10338401-1.v1.WHITE.stix,MAR-10337580-2.v1.WHITE_stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10338401-1.v1.WHITE_stix.xml
MAR-10338868-1.v1: Pulse Connect Secure,https://www.cisa.gov/news-events/analysis-reports/ar21-202m,MAR-10338868-1.v1.WHITE.stix,MAR-10338401-1.v1.WHITE_stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10338868-.v1.WHITE_stix.xml
MAR-10337802-1.v1: DarkSide Ransomware,https://www.cisa.gov/news-events/analysis-reports/ar21-189a,MAR-10337802-1.v1.WHITE.stix,MAR-10338868-.v1.WHITE_stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10337802-1.v1.WHITE_stix_1.xml
MAR 10339794-1.v1 – Cobalt Strike Beacon,https://www.cisa.gov/news-events/analysis-reports/ar21-148a,MAR-10339794-1.v1.stix,MAR-10337802-1.v1.WHITE_stix_1.xml,https://www.cisa.gov/sites/default/files/2021-05/IB-21-10094.stix.xml
MAR-10324784-1.v1: FiveHands Ransomware,https://www.cisa.gov/news-events/analysis-reports/ar21-126b,MAR-10324784-1.v1.stix,IB-21-10094.stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10324784-1.v1.stix.xml
CISA Identifies SUPERNOVA Malware During Incident Response,https://www.cisa.gov/news-events/analysis-reports/ar21-112a,AR21-112A.stix,MAR-10324784-1.v1.stix.xml,https://www.cisa.gov/sites/default/files/publications/AR21_112A.stix.xml
CISA Identifies SUPERNOVA Malware During Incident Response,https://www.cisa.gov/news-events/analysis-reports/ar21-112a,MAR-10319053-1.v1.stix,AR21_112A.stix.xml,https://us-cert.cisa.gov/sites/default/files/publications/MAR-10319053-1.v1.WHITE_stix.xml
MAR-10327841-1.v1 – SUNSHUTTLE,https://www.cisa.gov/news-events/analysis-reports/ar21-105a,MAR-10327841-1.v1.stix,MAR-10319053-1.v1.WHITE_stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10327841.r1.v1.stix.xml
MAR-10330097-1.v1: DearCry Ransomware,https://www.cisa.gov/news-events/analysis-reports/ar21-102b,MAR-10330097-1.v1.stix,MAR-10327841.r1.v1.stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10330097-1.v1.WHITE_stix.xml
MAR-10331466-1.v1: China Chopper Webshell,https://www.cisa.gov/news-events/analysis-reports/ar21-102a,MAR-10331466-1.v1.stix,MAR-10330097-1.v1.WHITE_stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10331466-1.v1.WHITE_stix.xml
MAR-10329496-1.v1: China Chopper Webshell,https://www.cisa.gov/news-events/analysis-reports/ar21-084a,MAR-10329496-1.v1.stix,MAR-10331466-1.v1.WHITE_stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10329496-1.v1.WHITE_stix.xml
MAR-10329499-1.v1: China Chopper Webshell,https://www.cisa.gov/news-events/analysis-reports/ar21-084b,MAR-10329499-1.v1.stix,MAR-10329496-1.v1.WHITE_stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10329499-1.v1.WHITE_stix.xml
MAR-10328877-1.v1: China Chopper Webshell,https://www.cisa.gov/news-events/analysis-reports/ar21-072a,MAR-10328877-1.v1.stix,MAR-10329499-1.v1.WHITE_stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10328877.r1.v1.stix.xml
MAR-10328923-1.v1: China Chopper Webshell,https://www.cisa.gov/news-events/analysis-reports/ar21-072b,MAR-10328923-1.v1.stix,MAR-10328877.r1.v1.stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10328923.r1.v1.stix.xml
MAR-10329107-1.v1: China Chopper Webshell,https://www.cisa.gov/news-events/analysis-reports/ar21-072c,MAR-10329107-1.v1.stix,MAR-10328923.r1.v1.stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10329107.r1.v1.stix.xml
MAR-10329297-1.v1: China Chopper Webshell,https://www.cisa.gov/news-events/analysis-reports/ar21-072d,MAR-10329297-1.v1.stix,MAR-10329107.r1.v1.stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10329297.r1.v1.stix.xml
MAR-10329298-1.v1: China Chopper Webshell,https://www.cisa.gov/news-events/analysis-reports/ar21-072e,MAR-10329298-1.v1.stix,MAR-10329297.r1.v1.stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10329298.r1.v1.stix.xml
MAR-10329301-1.v1: China Chopper Webshell,https://www.cisa.gov/news-events/analysis-reports/ar21-072f,MAR-10329301-1.v1.stix,MAR-10329298.r1.v1.stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10329301.r1.v1.stix.xml
MAR-10329494-1.v1: China Chopper Webshell,https://www.cisa.gov/news-events/analysis-reports/ar21-072g,MAR-10329494-1.v1.stix,MAR-10329301.r1.v1.stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10329494.r1.v1.stix.xml
MAR-10325064-1.v1 - Accellion FTA,https://www.cisa.gov/news-events/analysis-reports/ar21-055a,MAR-10325064-1.v1.stix,MAR-10329494.r1.v1.stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10325064.r1.v1.WHITE_stix.xml
MAR-10322463-1.v1 - AppleJeus: Celas Trade Pro,https://www.cisa.gov/news-events/analysis-reports/ar21-048a,MAR-10322463-1.v1.stix,MAR-10325064.r1.v1.WHITE_stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10322463-1.v1.WHITE_stix.xml
MAR-10322463-2.v1 - AppleJeus: JMT Trading,https://www.cisa.gov/news-events/analysis-reports/ar21-048b,MAR-10322463-2.v1.stix,MAR-10322463-1.v1.WHITE_stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10322463-2.v1.WHITE_stix.xml
MAR-10322463-3.v1 - AppleJeus: Union Crypto,https://www.cisa.gov/news-events/analysis-reports/ar21-048c,MAR-10322463-3.v1.stix,MAR-10322463-2.v1.WHITE_stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10322463-3.v1.WHITE_stix.xml
MAR-10322463-5.v1 - AppleJeus: CoinGoTrade,https://www.cisa.gov/news-events/analysis-reports/ar21-048e,MAR-10322463-5.v1.stix,MAR-10322463-3.v1.WHITE_stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10322463-5.v1.WHITE_stix.xml
MAR-10322463-6.v1 - AppleJeus: Dorusio,https://www.cisa.gov/news-events/analysis-reports/ar21-048f,MAR-10322463-6.v1.stix,MAR-10322463-5.v1.WHITE_stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10322463-6.v1.WHITE_stix.xml
MAR-10322463-7.v1 - AppleJeus: Ants2Whale,https://www.cisa.gov/news-events/analysis-reports/ar21-048g,MAR-10322463-7.v1.stix,MAR-10322463-6.v1.WHITE_stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10322463-7.v1.WHITE_stix.xml
MAR-10322463-4.v1 - AppleJeus: Kupay Wallet,https://www.cisa.gov/news-events/analysis-reports/ar21-048d,MAR-10322463-4.v1.stix,MAR-10322463-7.v1.WHITE_stix.xml,https://us-cert.cisa.gov/sites/default/files/publications/MAR-10322463-4.v1.WHITE_stix.xml
MAR-10318845-1.v1 - SUNBURST,https://www.cisa.gov/news-events/analysis-reports/ar21-039a,MAR-10318845-1.v1.stix,MAR-10322463-4.v1.WHITE_stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10318845-1.v1.WHITE_stix.xml
MAR-10320115-1.v1 - TEARDROP,https://www.cisa.gov/news-events/analysis-reports/ar21-039b,MAR-10320115-1.v1.stix,MAR-10318845-1.v1.WHITE_stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10320115-1.v1.WHITE_stix.xml
MAR-10319053-1.v2 - Supernova,https://www.cisa.gov/news-events/analysis-reports/ar21-027a,MAR-10319053-1.v2.stix,MAR-10320115-1.v1.WHITE_stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10319053.r1.v2.WHITE_stix.xml
Strengthening Security Configurations to Defend Against Attackers Targeting Cloud Services,https://www.cisa.gov/news-events/analysis-reports/ar21-013a,AR21-013A.stix,MAR-10319053.r1.v2.WHITE_stix.xml,https://www.cisa.gov/sites/default/files/publications/AR21-013A.stix.xml
MAR-10310246-2.v1 – PowerShell Script: ComRAT,https://www.cisa.gov/news-events/analysis-reports/ar20-303a,MAR-10310246-2.v1.WHITE.stix,AR21-013A.stix.xml,https://us-cert.cisa.gov/sites/default/files/publications/MAR-10310246-2.v1.WHITE.stix.xml
MAR-10310246-1.v1 – ZEBROCY Backdoor,https://www.cisa.gov/news-events/analysis-reports/ar20-303b,MAR-10310246-1.v1,MAR-10310246-2.v1.WHITE.stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10310246-1.v1.WHITE.stix.xml
MAR-10303705-1.v1 – Remote Access Trojan: SLOTHFULMEDIA,https://www.cisa.gov/news-events/analysis-reports/ar20-275a,MAR-10303705-1.v1.stix,MAR-10310246-1.v1.WHITE.stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10303705-1.v1.stix.xml
Federal Agency Compromised by Malicious Cyber Actor,https://www.cisa.gov/news-events/analysis-reports/ar20-268a,AA20-268A.stix,MAR-10303705-1.v1.stix.xml,https://us-cert.cisa.gov/sites/default/files/publications/AR20-268A.stix.xml
MAR-10301706-1.v1 - North Korean Remote Access Tool: ECCENTRICBANDWAGON,https://www.cisa.gov/news-events/analysis-reports/ar20-239a,MAR-10301706-1.v1.stix,AR20-268A.stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10301706-1.v1.WHITE.stix.xml
MAR-10301706-2.v1 - North Korean Remote Access Tool: VIVACIOUSGIFT,https://www.cisa.gov/news-events/analysis-reports/ar20-239b,MAR-10301706-2.v1.stix,MAR-10301706-1.v1.WHITE.stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10301706-2.v1.WHITE.stix.xml
MAR-10257062-1.v2 - North Korean Remote Access Tool: FASTCASH for Windows,https://www.cisa.gov/news-events/analysis-reports/ar20-239c,MAR-10257062-1.v2.stix,MAR-10301706-2.v1.WHITE.stix.xml,https://www.cisa.gov/sites/default/files/publications/MAR-10257062-1.v2.WHITE.stix.xml
